carrier_code,service_level,zone,weight_tier_min_lbs,weight_tier_max_lbs,contract_base_rate_usd,effective_date,expiration_date
UPS,GROUND,4,2,2,10.96,2026-01-01,2026-12-31
UPS,GROUND,4,3,3,11.64,2026-01-01,2026-12-31
UPS,GROUND,4,4,4,12.32,2026-01-01,2026-12-31
UPS,GROUND,4,5,5,13.0,2026-01-01,2026-12-31
UPS,GROUND,4,6,6,13.68,2026-01-01,2026-12-31
UPS,GROUND,4,7,7,14.36,2026-01-01,2026-12-31
UPS,GROUND,4,8,8,15.04,2026-01-01,2026-12-31
UPS,GROUND,4,9,9,15.72,2026-01-01,2026-12-31
UPS,GROUND,4,10,10,16.4,2026-01-01,2026-12-31
UPS,GROUND,4,11,15,19.8,2026-01-01,2026-12-31
UPS,GROUND,4,16,20,23.2,2026-01-01,2026-12-31
UPS,GROUND,4,21,25,26.6,2026-01-01,2026-12-31
UPS,GROUND,4,26,30,30.0,2026-01-01,2026-12-31
UPS,GROUND,4,31,40,36.8,2026-01-01,2026-12-31
UPS,GROUND,4,41,50,43.6,2026-01-01,2026-12-31
UPS,GROUND,4,51,70,57.2,2026-01-01,2026-12-31
UPS,GROUND,4,71,100,77.6,2026-01-01,2026-12-31
UPS,GROUND,4,101,150,111.6,2026-01-01,2026-12-31
UPS,GROUND,5,1,1,11.24,2026-01-01,2026-12-31
UPS,GROUND,5,2,2,12.08,2026-01-01,2026-12-31
UPS,GROUND,5,3,3,12.92,2026-01-01,2026-12-31
UPS,GROUND,5,4,4,13.76,2026-01-01,2026-12-31
UPS,GROUND,5,5,5,14.6,2026-01-01,2026-12-31
UPS,GROUND,5,6,6,15.44,2026-01-01,2026-12-31
UPS,GROUND,5,7,7,16.28,2026-01-01,2026-12-31
UPS,GROUND,5,8,8,17.12,2026-01-01,2026-12-31
UPS,GROUND,5,9,9,17.96,2026-01-01,2026-12-31
UPS,GROUND,5,10,10,18.8,2026-01-01,2026-12-31
UPS,GROUND,5,11,15,23.0,2026-01-01,2026-12-31
UPS,GROUND,5,16,20,27.2,2026-01-01,2026-12-31
UPS,GROUND,5,21,25,31.4,2026-01-01,2026-12-31
UPS,GROUND,5,26,30,35.6,2026-01-01,2026-12-31
UPS,GROUND,5,31,40,44.0,2026-01-01,2026-12-31
UPS,GROUND,5,41,50,52.4,2026-01-01,2026-12-31
UPS,GROUND,5,51,70,69.2,2026-01-01,2026-12-31
UPS,GROUND,5,71,100,94.4,2026-01-01,2026-12-31
UPS,GROUND,5,101,150,136.4,2026-01-01,2026-12-31
UPS,GROUND,6,1,1,12.37,2026-01-01,2026-12-31
UPS,GROUND,6,2,2,13.39,2026-01-01,2026-12-31
UPS,GROUND,6,3,3,14.41,2026-01-01,2026-12-31
UPS,GROUND,6,4,4,15.43,2026-01-01,2026-12-31
UPS,GROUND,6,5,5,16.45,2026-01-01,2026-12-31
UPS,GROUND,6,6,6,17.47,2026-01-01,2026-12-31
UPS,GROUND,6,7,7,18.49,2026-01-01,2026-12-31
UPS,GROUND,6,8,8,19.51,2026-01-01,2026-12-31
UPS,GROUND,6,9,9,20.53,2026-01-01,2026-12-31
UPS,GROUND,6,10,10,21.55,2026-01-01,2026-12-31
UPS,GROUND,6,11,15,26.65,2026-01-01,2026-12-31
UPS,GROUND,6,16,20,31.75,2026-01-01,2026-12-31
UPS,GROUND,6,21,25,36.85,2026-01-01,2026-12-31
UPS,GROUND,6,26,30,41.95,2026-01-01,2026-12-31
UPS,GROUND,6,31,40,52.15,2026-01-01,2026-12-31
UPS,GROUND,6,41,50,62.35,2026-01-01,2026-12-31
UPS,GROUND,6,51,70,82.75,2026-01-01,2026-12-31
UPS,GROUND,6,71,100,113.35,2026-01-01,2026-12-31
UPS,GROUND,6,101,150,164.35,2026-01-01,2026-12-31
UPS,GROUND,7,1,1,13.71,2026-01-01,2026-12-31
UPS,GROUND,7,2,2,14.92,2026-01-01,2026-12-31
UPS,GROUND,7,3,3,16.13,2026-01-01,2026-12-31
UPS,GROUND,7,4,4,17.34,2026-01-01,2026-12-31
UPS,GROUND,7,5,5,18.55,2026-01-01,2026-12-31
UPS,GROUND,7,6,6,19.76,2026-01-01,2026-12-31
UPS,GROUND,7,7,7,20.97,2026-01-01,2026-12-31
UPS,GROUND,7,8,8,22.18,2026-01-01,2026-12-31
UPS,GROUND,7,9,9,23.39,2026-01-01,2026-12-31
UPS,GROUND,7,10,10,24.6,2026-01-01,2026-12-31
UPS,GROUND,7,11,15,30.65,2026-01-01,2026-12-31
UPS,GROUND,7,16,20,36.7,2026-01-01,2026-12-31
UPS,GROUND,7,21,25,42.75,2026-01-01,2026-12-31
UPS,GROUND,7,26,30,48.8,2026-01-01,2026-12-31
UPS,GROUND,7,31,40,60.9,2026-01-01,2026-12-31
UPS,GROUND,7,41,50,73.0,2026-01-01,2026-12-31
UPS,GROUND,7,51,70,97.2,2026-01-01,2026-12-31
UPS,GROUND,7,71,100,133.5,2026-01-01,2026-12-31
UPS,GROUND,7,101,150,194.0,2026-01-01,2026-12-31
UPS,GROUND,8,1,1,15.19,2026-01-01,2026-12-31
UPS,GROUND,8,2,2,16.63,2026-01-01,2026-12-31
UPS,GROUND,8,3,3,18.07,2026-01-01,2026-12-31
UPS,GROUND,8,4,4,19.51,2026-01-01,2026-12-31
UPS,GROUND,8,5,5,20.95,2026-01-01,2026-12-31
UPS,GROUND,8,6,6,22.39,2026-01-01,2026-12-31
UPS,GROUND,8,7,7,23.83,2026-01-01,2026-12-31
UPS,GROUND,8,8,8,25.27,2026-01-01,2026-12-31
UPS,GROUND,8,9,9,26.71,2026-01-01,2026-12-31
UPS,GROUND,8,10,10,28.15,2026-01-01,2026-12-31
UPS,GROUND,8,11,15,35.35,2026-01-01,2026-12-31
UPS,GROUND,8,16,20,42.55,2026-01-01,2026-12-31
UPS,GROUND,8,21,25,49.75,2026-01-01,2026-12-31
UPS,GROUND,8,26,30,56.95,2026-01-01,2026-12-31
UPS,GROUND,8,31,40,71.35,2026-01-01,2026-12-31
UPS,GROUND,8,41,50,85.75,2026-01-01,2026-12-31
UPS,GROUND,8,51,70,114.55,2026-01-01,2026-12-31
UPS,GROUND,8,71,100,157.75,2026-01-01,2026-12-31
UPS,GROUND,8,101,150,229.75,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,1,1,15.95,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,2,2,16.72,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,3,3,17.5,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,4,4,18.28,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,5,5,19.05,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,6,6,19.83,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,7,7,20.61,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,8,8,21.39,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,9,9,22.16,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,10,10,22.94,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,11,15,26.83,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,16,20,30.71,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,21,25,34.59,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,26,30,38.48,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,31,40,46.25,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,41,50,54.02,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,51,70,69.56,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,71,100,92.87,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,2,101,150,131.72,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,1,1,17.57,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,2,2,18.59,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,3,3,19.61,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,4,4,20.63,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,5,5,21.64,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,6,6,22.66,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,7,7,23.68,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,8,8,24.7,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,9,9,25.71,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,10,10,26.73,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,11,15,31.82,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,16,20,36.91,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,21,25,42.0,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,26,30,47.08,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,31,40,57.26,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,41,50,67.43,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,51,70,87.78,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,71,100,118.31,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,3,101,150,169.18,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,1,1,19.02,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,2,2,20.28,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,3,3,21.53,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,4,4,22.79,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,5,5,24.05,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,6,6,25.31,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,7,7,26.57,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,8,8,27.82,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,9,9,29.08,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,10,10,30.34,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,11,15,36.63,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,16,20,42.92,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,21,25,49.21,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,26,30,55.5,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,31,40,68.08,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,41,50,80.66,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,51,70,105.82,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,71,100,143.56,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,4,101,150,206.46,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,1,1,20.79,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,2,2,22.35,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,3,3,23.9,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,4,4,25.46,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,5,5,27.01,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,6,6,28.56,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,7,7,30.12,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,8,8,31.67,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,9,9,33.23,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,10,10,34.78,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,11,15,42.55,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,16,20,50.32,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,21,25,58.09,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,26,30,65.86,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,31,40,81.4,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,41,50,96.94,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,51,70,128.02,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,71,100,174.64,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,5,101,150,252.34,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,1,1,22.88,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,2,2,24.77,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,3,3,26.66,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,4,4,28.55,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,5,5,30.43,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,6,6,32.32,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,7,7,34.21,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,8,8,36.09,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,9,9,37.98,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,10,10,39.87,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,11,15,49.3,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,16,20,58.74,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,21,25,68.17,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,26,30,77.61,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,31,40,96.48,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,41,50,115.35,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,51,70,153.09,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,71,100,209.7,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,6,101,150,304.05,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,1,1,25.36,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,2,2,27.6,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,3,3,29.84,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,4,4,32.08,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,5,5,34.32,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,6,6,36.56,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,7,7,38.79,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,8,8,41.03,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,9,9,43.27,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,10,10,45.51,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,11,15,56.7,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,16,20,67.9,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,21,25,79.09,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,26,30,90.28,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,31,40,112.67,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,41,50,135.05,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,51,70,179.82,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,71,100,246.98,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,7,101,150,358.9,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,1,1,28.1,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,2,2,30.77,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,3,3,33.43,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,4,4,36.09,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,5,5,38.76,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,6,6,41.42,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,7,7,44.09,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,8,8,46.75,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,9,9,49.41,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,10,10,52.08,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,11,15,65.4,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,16,20,78.72,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,21,25,92.04,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,26,30,105.36,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,31,40,132.0,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,41,50,158.64,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,51,70,211.92,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,71,100,291.84,2026-01-01,2026-12-31
UPS,SECOND_DAY_AIR,8,101,150,425.04,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,1,1,25.43,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,2,2,26.67,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,3,3,27.91,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,4,4,29.15,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,5,5,30.38,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,6,6,31.62,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,7,7,32.86,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,8,8,34.1,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,9,9,35.34,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,10,10,36.58,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,11,15,42.78,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,16,20,48.97,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,21,25,55.16,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,26,30,61.36,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,31,40,73.75,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,41,50,86.14,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,51,70,110.92,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,71,100,148.09,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,2,101,150,210.04,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,1,1,28.03,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,2,2,29.65,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,3,3,31.27,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,4,4,32.89,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,5,5,34.52,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,6,6,36.14,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,7,7,37.76,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,8,8,39.38,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,9,9,41.0,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,10,10,42.63,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,11,15,50.74,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,16,20,58.85,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,21,25,66.97,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,26,30,75.08,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,31,40,91.3,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,41,50,107.53,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,51,70,139.98,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,71,100,188.65,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,3,101,150,269.78,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,1,1,30.33,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,2,2,32.33,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,3,3,34.34,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,4,4,36.34,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,5,5,38.35,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,6,6,40.36,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,7,7,42.36,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,8,8,44.37,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,9,9,46.37,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,10,10,48.38,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,11,15,58.41,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,16,20,68.44,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,21,25,78.47,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,26,30,88.5,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,31,40,108.56,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,41,50,128.62,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,51,70,168.74,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,71,100,228.92,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,4,101,150,329.22,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,1,1,33.16,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,2,2,35.64,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,3,3,38.11,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,4,4,40.59,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,5,5,43.07,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,6,6,45.55,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,7,7,48.03,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,8,8,50.5,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,9,9,52.98,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,10,10,55.46,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,11,15,67.85,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,16,20,80.24,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,21,25,92.63,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,26,30,105.02,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,31,40,129.8,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,41,50,154.58,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,51,70,204.14,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,71,100,278.48,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,5,101,150,402.38,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,1,1,36.49,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,2,2,39.5,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,3,3,42.51,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,4,4,45.52,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,5,5,48.53,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,6,6,51.54,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,7,7,54.55,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,8,8,57.55,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,9,9,60.56,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,10,10,63.57,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,11,15,78.62,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,16,20,93.66,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,21,25,108.71,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,26,30,123.75,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,31,40,153.84,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,41,50,183.93,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,51,70,244.11,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,71,100,334.38,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,6,101,150,484.83,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,1,1,40.44,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,2,2,44.01,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,3,3,47.58,2026-01-01,2026-12-31
